title,price,rating,num_ratings,manufacturer,about_item,product_url
"Like Star® Adjustable Chest Strap Mount with Mobile Holder Clip & Screw Compatible with All Smart Phones Body Belt Harness for Gopro Hero, SJCAM, Yi & Other Action Cameras - Black",325,3.7,108,Star,"Compatibility:- Compatible With All Smart Phones + Gopro hero 12/11/10/9/8/7/6/5/4/3 ,Insta 360, DJI OSMO ACTION 3 & 4, SJCAM , Yi and other Action Cameras.

Used For:- During filming mountain hiking,cycling, skiing, snowboarding, snorkeling, X-Game and other Outdoor Sports.

Well Adjustable and fit to wide range body size.

1 Month Replacement warranty incase of manufacturing defects",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzIyODUxNjgwMDcwMjAwOjE3NDQwNjM0NjU6c3BfYXRmX25leHQ6MzAwNDI5MzQ2OTUwOTMyOjowOjo&url=%2FLike-Adjustable-Compatible-Harness-Cameras%2Fdp%2FB0CK2MYYNX%2Fref%3Dsr_1_65_sspa%3Fdib%3DeyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063464%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Yantralay Ulanzi VL49 Professional Magnetic RGB LED Light with 2 Color Modes for LiveStreaming, Photo-Shoot with 3 Hot Shoe Mounts Compatible with All Cameras,Smartphones & DSLR,Vlogging Accessories",1999,4.1,327,yantralay,"The New version VL49 RGB on camera led light adopts 60 High Effective Light Beads, Larger Angle, More brightness, Higher color rendering. Topest CRI95 cab completely with perfect color of sunlight and ensure that its light is natural lifelike.RGB full colors light which makes your photography more colorful

Magnetic back design: The powerful suction on the back allows you to place it on any place that can be attracted

2500K-9000k Sleeplessly Dimmable with LCD display: Hue adjustable from 0 degree -359 degree; Color saturation adjustable from 0%-100%; Brightness from 0%-100% dimmable.

3 Cold Shoe Mount: RGB Video Light is Designed with 3 cold shoe mounts to connect multiple light panel together to strengthen lighting brightness and to get better lighting effects. Cold Shoe Mount can be used to mount Microphone & LED Light both together, which makes a perfect combination for vlogging.

Compatible with Smartphones, iPhone, GoPro Hero 12/11/10/9/8/7 & Other Action Cameras & DSLR Cameras.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzIyODUxNjgwMDcwMjAwOjE3NDQwNjM0NjU6c3BfYXRmX25leHQ6MjAwNjMwNDU1Nzk4MDY6OjA6Og&url=%2FProfessional-LiveStreaming-Photo-Shoot-Smartphones-Accessories%2Fdp%2FB08QJSZWHR%2Fref%3Dsr_1_66_sspa%3Fdib%3DeyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063464%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Digital Camera for Kids, 44MP FHD 1080P Camera with 32GB Card, 2 Batteries, 16X Zoom, Anti-Shake, Compact Point and Shoot, Portable Camera for Children, Students, Teens - Black",3390,2.4,5,KINETIKITCH,"Perfect Gift for Kids: Equipped with a high-level CMOS sensor and anti-shake function, this black digital camera captures vivid 44MP images and smooth FHD 1080P videos.

Mini-Size & Easy to Use: Designed for small hands, this compact point-and-shoot camera is lightweight and portable, with a lanyard for easy carrying. Its simple settings make it user-friendly for kids, perfect for travel and camping adventures.

Safe & Durable Materials: Made from high-grade, eco-friendly materials, this kid's camera is non-toxic and durable, able to withstand drops. It features six creative filters, allowing children to take colorful and fun pictures.

Powerful Features: With two rechargeable batteries, this digital camera can record up to 180 minutes of video on a single charge. It includes 16X zoom, time-lapse, slow motion, continuous shoot, motion detection, face detection, self-timer, and webcam functions.",https://www.amazon.in/Batteries-Anti-Shake-Portable-Children-Students/dp/B0DCK44B4T/ref=sr_1_67?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-67
"LEQTRONIQ Digital Camera for Photography, 4K, 64MP Camera for YouTube& Vlogging, 5X Optical Zoom Compact Vlog Travel Camera with WiFi,",8190,3.8,19,LEQTRONIQ,"5X Optical Zoom: Capture life's precious moments with 5X optical zoom, allowing you to adjust the focal length (5mm-15mm) and aperture (F3.3-5.8) to achieve sharp images. Unlike digital zoom, optical zoom maintains image quality without blurring or distortion.

4K Ultra HD & 64MP Auto Focus: Record true 4K videos at 30 frames per second (FPS) and take stunning 64MP HD photos with automatic focus. This camera delivers sharper image quality compared to 2.7K cameras, making it perfect for capturing special moments.

WiFi and Webcam Function: Share your favorite moments instantly with WiFi connectivity. Send photos and videos directly to your smartphone or tablet, and control the camera remotely using the app. Additionally, use the camera as a webcam for video calls, live streaming, and online meetings.

Compact and Portable Design: Designed for convenience, this camera features a 2.8-inch LCD display, a compact size (half the size of a cell phone), and a lanyard for easy carrying. Perfect for travel, hiking, or everyday use.

Complete Accessories: Get started right away with the included accessories: digital camera, USB cable, rechargeable batteries, lanyard, camera bag, user manual, and a 32G SD card.",https://www.amazon.in/LEQTRONIQ-Digital-Photography-YouTube-Vlogging/dp/B0DZWZD6M6/ref=sr_1_68?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-68
"BEEBIRD Mini HD Hidden Camera -1080P Video, 2MP Photo, TF Card Support, Discreet Surveillance CCTV Spy Cam Device",989,2.9,5,BEEBIRD,"【SMALL & DISCRETE】 : The Spy camera allows you to place it discreetly in various settings, making it perfect for home security, event recording, content creation, and capturing special moments. Remember to have a microSD card ready to start using your camera.

【EASY TO USE 】: Start recording without the need for Wi-Fi or apps; just insert an SD card (not included) and let the hidden camera handle the rest, including automatic file overwriting when the SD card is full.

【FULL HD VIDEOS AND IMAGES】 :Record clear 1080P videos at 30fps and take 2-megapixel photos with a resolution of 1600 x 1200 pixels, ensuring your footage and images are sharp and vibrant.

【AMPLE STORAGE & LONG BATTERY LIFE】: With support for microSD cards up to 32GB, you have plenty of storage, and up to 90 minutes of continuous recording, even while charging.",https://www.amazon.in/BEEBIRD-Camera-Discreet-Surveillance-Spy/dp/B0CMKX7KTT/ref=sr_1_69?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-69
Sony Alpha ILCE 6100L 24.2 MP Mirrorless Digital SLR Camera with 16-50 mm Power Zoom Lens | APS-C Se,79920,4.6,3,Sony,"Real time eye AF for still + Animal Eye AF;Real time tracking

World fastest 0.02 Sec AF speed with 425 phase detection and contrast points;24.2MP, EXMOR CMOS sensor with outstanding light sensitivity

11 FPS continuous shooting with AF/AE;180 degree tilt able touch LCD screen

ISO sensitivity up to 102400;High resolution, sensitivity and colour reproduction capability;Smooth and stable AF;Country of Origin: China

Telephoto zoom lens with 3.8x magnification range

Built-in OSS (Optical SteadyShot) image stabilisation

Quiet, responsive autofocus with stills and video

High-performance optics and aluminium alloy finish",https://www.amazon.in/Sony-Mirrorless-Tiltable-55-210mm-Telephoto/dp/B0BXK7R7Q4/ref=sr_1_70?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-70
"Fulealfly 4K Digital Camera For Photography And Video, 48Mp Vlogging Camera With Sd Card Autofocus Anti-Shake, 3'' 180° Flip Screen Digital Camera With Flash 16X Zoom, Compact Camera For Travel-Gb 128",8999,4.1,381,Fulealfly,"📸4K DIGITAL CAMERA FOR HD VLOGGING: 4K digital camera delivers anti-shake without missing all details, the video camera's pause helps save editing time and memory, and the time-lapse and slow-motion features create the creativity you want! In addition, the vlogging camera for YouTube can as a webcam, letting you easily do live streaming or video calls on YouTube, Facebook, Twitter, or other social media.

📸48MP SUPER HD PHOTOGRAPHY: Digital camera for photography has a 48MP image resolution and an 8MP CMOS image sensor. Autofocus features make this digital camera for beginners who want to quickly take HD photos, and take HD text or portraits up close without much work, and the 16x zoom photography camera can also shoot landscapes from a distance, to capture all the moments you want with clarity!

😇PORTABLE CAMERA WITH FLASH: Small travel camera weighs 0.59 LBS and is the size of a palm. You can manually shoot or record video for a long time without tired, and easily slip a portable digital camera for travel into your bag. In addition, a digital camera for photography and video has its built-in flash, which can take clear photos and videos in darker environments, and record the cultural scenery you want to record on a beautiful and relaxing night!

🎁PERFECT GIFT FOR SHARING FUN: The fashion digital camera for beginners and teens is full-featured and easy to operate! The 4K photo camera makes everyone use it easily in home life, social software, travel, or photography! Also, This small camera is the ideal gift for lovers, friends, children, or parents for Valentine's Day, Thanksgiving, Christmas, or a birthday! Share your fun with this point-and-shoot camera.

📩MULTIFUNCTIONAL CAMERA'S SERVICE: The digital camera can be connected to external tripods, microphones, and lenses. digital camera for vlogging is waiting for you to unlock a variety of functions, 16X zoom, time-lapse(2/5/10S), 3 continuous shooting, beauty, flash, 180° flip screen, face/smile capture... We provide a 1-year , a 32G SD card, and 2 batteries... if you have any questions, please feel free to contact us, and we will reply to you within 24 hours!

Exposure Control Type: Automatic

Material: Copper, optical glass, stainless steel, carbon steel, carbon fiber reinforced plastics, electronic devices, PCB boards...",https://www.amazon.in/Fulealfly-Photography-Autofocus-Anti-Shake-Travel-Gb/dp/B0CLNDZBML/ref=sr_1_71?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-71
"KidPix Kids Camera Toy, 13 Megapixels, Blue, HD Digital Video Camera for Toddlers, 3-9 Years Old, Christmas Birthday Gifts",800,4.0,5,KidPix,"CAMERA FEATURES: 2-inch LCD display screen with easy-to-use interface, perfect for young photographers to preview and review their photos

DURABLE DESIGN: Shock-resistant outer shell with ergonomic grip handles designed specifically for children's small hands

STORAGE CAPACITY: Built-in memory card slot supports up to 32GB SD cards to store thousands of photos and videos

CREATIVE MODES: Multiple fun photo effects, frames, and filters to enhance creativity and make photography entertaining

BATTERY LIFE: Powered by 2 AAA batteries providing up to 4 hours of continuous usage time",https://www.amazon.in/KidPix-Megapixels-Toddlers-Christmas-Birthday/dp/B0DSV2R5HM/ref=sr_1_72?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-72
"KODAK Mini Shot 3 Retro 4PASS 2-in-1 Instant Camera and Photo Printer (3x3 inches) + 68 Sheets Bundle, Yellow",14699,3.5,"7,294",KODAK,"Instant Camera + Photo Printer: The Kodak Mini Shot 3 Retro is a polaroid camera with a built-in photo printer, so you can print your images or cancel them after you have taken them. With this instant cameras, you can also print photos directly from the gallery of your mobile device via Bluetooth. This instant photo camera is compatible with Apple iPhone, iPad & Android devices.

Low Photo Cost: Why pay more to print? Printing has never been easier with our Kodak Mini Shot 3 Retro polaroid camera. Photos are even half the cost if purchased in an instant photo camera bundle! The more you print the more you save with this instant cameras and printer.

Superior Photo Quality: The Kodak Mini Shot 3 Retro polaroid camera utilizes 4PASS technology, which allows you to print flawless photos in just a few seconds. As the photos are printed on layers of color and laminated, they are protected against fingerprints and water. Photos last over a 100 years!

Two Photo Types: It is possible to print both bordered and borderless pictures with the Kodak Mini Shot 3 Retro polaroid camera. With this instant camera, you can create lasting memories by writing down your memories in the border type. You can print the borderless type of photo if you want to have them in a larger size.

Augmented Reality App: Download the KODAK Photo Printer application and print from anywhere at any time. With fun augmented reality features and other decorative features such as beauty, filters, frames, and more, you can use the app to express your photos. Our app and instant photo camera will do the rest of the work for you!",https://www.amazon.in/KODAK-Instant-Camera-Printer-inches/dp/B08HC9CRT5/ref=sr_1_73?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-73
Sounce Shutter Remote Control with Bluetooth Wireless Technology - Create Amazing Photos and Videos Hands-Free - Works with Most Smartphones and Tablets (iOS and Android) (Black),169,4.2,"7,620",Sounce,"✅ HANDY LITTLE GADGET ►This Bluetooth remote makes it exciting to take selfies, group and steady shots hands-free! Post amazing photos and videos on Snapchat, Instagram, Facebook or YouTube with the help of this shutter.

✅ LIGHTWEIGHT AND CONVENIENT TO CARRY ►Sounce remote is easy to store. You can bring it anywhere! Just slip it in your pocket and keep it on a keychain. It comes with an adjustable wrist strap for quick access when in use.

✅ SMOOTH PAIRING GUARANTEED ►The Remote Control Camera Shutter uses Certified Bluetooth Wireless Technology for maximum reliability and fast operation. It can trigger your phone and tablet even if it is 30ft (10m) away. You only need to pair it once and it will be automatically recognized on your next use.

✅ CAPTURE PICTURES/VIDEO INSTANTLY ►The remote has two buttons for taking photos and videos. Press the small button for Android and the big button for iPhone. It also has a separate ON/OFF switch.

✅ COMPATIBLE WITH A WIDE RANGE OF DEVICES ►The remote pairs perfectly with phones and tablets operating on Android 4.2.2 OS and up / Apple iOS 6.0 and up. Option to use in-built app or Camera 360 app. It can be used with a wide range of devices.",https://www.amazon.in/Sounce-Bluetooth-Control-Compatible-BTCTROL/dp/B0922XL7SH/ref=sr_1_74?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-74
"Instant Print Camera for Kids - 1080P HD, 48MP, SD Card, Bluetooth, Free App, 3 Rolls Print Paper, Stickers, Fun Filters, Gift for Boys and Girls - Pink Camera for Kids 4-12 y (Pink)",2999,4.2,8,TOES,"🎨 Instant Camera Printing: Capture magical moments and see them printed instantly with inkless thermal printing (4 BPA-free rolls included)! Decorate photos with stickers for endless creative fun.

🦉 Kid-Friendly Design: Owl shape kid camera with cute luminous ears, time-lapse, music, games & more to keep them entertained for hours! Connect to the free downloadable app for additional customization options. A great toddler camera.

📷 High-quality imaging: Our Instant Camera for kids boasts of Dual Lenses, capturing stunning 48MP photos and 1080P videos and 10x zoom for crystal-clear memories for adventures of all kinds. We haven't sacrificed quality for fun!

🦺 Safety & Durable: Our kids camera instant print is BPA-free, built with safe materials, shockproof shell & eco-friendly printing - perfect for little explorers.

🎁 Perfect Gift: The ideal birthday, holiday, or anytime present for boys and girls aged 3-12. Long Battery Life (up to 3 hours). Includes: SD card, USB Type-C cable, and wrist lanyard. Our camera for kids also features Bluetooth.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzIyODUxNjgwMDcwMjAwOjE3NDQwNjM0NjU6c3BfbXRmOjMwMDQ4NjU0NTI1NTIzMjo6MDo6&url=%2FInstant-Print-Camera-Kids-Bluetooth%2Fdp%2FB0DR31TT44%2Fref%3Dsr_1_75_sspa%3Fdib%3DeyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063464%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Digital Camera FHD 1080P for Kids & Teens, 44MP, 16X Zoom, Anti-Shake, Compact Point & Shoot with 32GB Card, 2 Batteries & Lanyard – Mini Rechargeable Camera for Children, Students & Travel (Purple)",4999,,,KINETIKITCH,"High-Resolution 44MP & FHD 1080P Video – Capture stunning, detailed images and smooth full HD 1080P videos with vibrant colors, perfect for kids, teens, and beginners exploring photography.

16X Digital Zoom & Anti-Shake Technology – Zoom in to capture distant subjects with clarity, while the built-in anti-shake feature ensures blur-free and stable shots for high-quality results.

Compact, Lightweight & Travel-Friendly – Designed for easy portability, this mini point-and-shoot camera is perfect for children, students, and young photographers to carry anywhere with the included lanyard.

Rechargeable with 2 Batteries for Extended Use – Comes with two long-lasting rechargeable batteries, allowing kids to enjoy uninterrupted photography and video recording during school trips, vacations, and special occasions.

32GB Memory Card Included for Instant Use – No need to buy additional storage—this camera comes with a pre-installed 32GB SD card, providing ample space to store thousands of photos and videos.

Simple & User-Friendly Design – With easy button controls and an intuitive menu, this camera is perfect for beginners and young users, making it an ideal gift for birthdays, holidays, and special occasions.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzIyODUxNjgwMDcwMjAwOjE3NDQwNjM0NjU6c3BfbXRmOjMwMDUwMTk4MDIxNTkzMjo6MDo6&url=%2FDigital-Anti-Shake-Compact-Batteries-Lanyard%2Fdp%2FB0DZ2218JQ%2Fref%3Dsr_1_76_sspa%3Fdib%3DeyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w%26dib_tag%3Dse%26keywords%3Dphoto%2Bcamera%26qid%3D1744063464%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Focusify Digital Camera, 4K Ultra HD 56Mp Autofocus Camera, Digital Point and Shoot Camera with 20X Zoom Anti Shake, Video Camera with 32GB SD Card for Adults, Teens, Beginners(Silver), CDF5S",4980,3.0,84,Focusify,"Crystal Clear Imaging: Capture stunning visuals with a 56MP sensor that ensures every detail is preserved, providing images in unparalleled clarity. Whether you're snapping breathtaking landscapes or intimate portraits, the camera's high resolution ensures vivid and lifelike pictures.

Versatile Video Capabilities: Seamlessly transition from photography to video graphy with 4K Ultra HD and 1080p video recording capabilities. Preserve your memories in cinematic quality, and share your adventures with friends and family in stunning high definition.

Zoom In, Stand Out: Elevate your photography game with the 20X digital zoom feature, allowing you to get up close and personal with your subjects without compromising image quality. From distant landscapes to wildlife, this camera ensures that no detail goes unnoticed.

On-the-Go Convenience: Designed for travel enthusiasts, this portable digital camera is compact and lightweight, making it the perfect companion for your adventures. Slip it into your pocket or bag, and capture moments wherever you go. It's not just a camera; it's a travel essential.

Multifunctional Marvel: Beyond its primary role as a powerful camera, this device doubles as a webcam, enhancing your virtual meetings with crisp and clear video. Its multifunctionality makes it a versatile gadget for both professional and personal use, adapting to your diverse needs effortlessly.",https://www.amazon.in/Focusify-Digital-Autofocus-Beginners-CDF5S/dp/B0CSFGKYH1/ref=sr_1_77?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-77
"FNX Mini Hd Hidden Wireless Camera -1080P Video, 2Mp Photo, Tf Card Support, Discreet Surveillance Cctv Spy Cam Device",988,2.8,5,FNX,"【SMALL & DISCRETE】 : The Spy camera allows you to place it discreetly in various settings, making it perfect for home security, event recording, content creation, and capturing special moments. Remember to have a microSD card ready to start using your camera.

【EASY TO USE 】: Start recording without the need for Wi-Fi or apps; just insert an SD card (not included) and let the hidden camera handle the rest, including automatic file overwriting when the SD card is full.

【FULL HD VIDEOS AND IMAGES】 :Record clear 1080P videos at 30fps and take 2-megapixel photos with a resolution of 1600 x 1200 pixels, ensuring your footage and images are sharp and vibrant.

【AMPLE STORAGE & LONG BATTERY LIFE】: With support for microSD cards up to 32GB, you have plenty of storage, and up to 90 minutes of continuous recording, even while charging.",https://www.amazon.in/FNX-Camera-Discreet-Surveillance-Spy/dp/B0CMLLJ4XY/ref=sr_1_78?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-78
Fujifilm Instax Mini 11 Instant Camera (Sky Blue) Gift Box with 10 Shots,6999,4.3,"1,865",Fujifilm,"In Gift Box - Instax Mini 11 Camera + Instax Mini Film Pack 10x1 + Instax Photo Bunting + Instax Photo Album + Batteries + Camera Strap + Warranty Card + Instruction Manual

Live Life and Play with five stylish colors

Selfies & Close-ups Never look better

The high performance flash automatically calculates surrounding brightness and adjusts shutter speed accordingly- no need for any special settings

High-Key mode : Take brighter pictures with a soft look - perfect for portraits",https://www.amazon.in/Fujifilm-Instax-Mini-Instant-Camera/dp/B08TS6JXKR/ref=sr_1_79?dib=eyJ2IjoiMSJ9.iE_gj0Q4E-CwqPM3FJqZ1d2dq_5aUxLWD2vWSaCjMe2ePGBOGuRL28wA4JTrACR6zhoz8LSWT4t-nWnbzTPI75PwgJLqhF6saK4gJi3kzwJFOBlFGIJiSpFtr6vnEmrzyPAideEstNt7KjtXaDlERdL8jpKBni8cKfY0B8cUeqpVMqYQSTInDcMJ27r4QmlFKmlkPPQr03LIoUkjM-ZzCEC6BKsGL_kOmfWTrrRp_tE.kvCYLagX4eyXJLPvoE8kkBd1vkB4FhDrQrEPX4Vgj4w&dib_tag=se&keywords=photo+camera&qid=1744063464&sr=8-79
